,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
110,"BENTUK DAN FUNGSI PEMAJASAN PERIBAHASA MADURA 
DI DESA BANCARAN BANGKALAN
(KAJIAN STILISTIKA)
", Wasiatun Niâmah," Abdul Rosid, S.Pd, M.Pd","Ika Febriani, S.S, M.Pd.","ABSTRAK
Abstrak: Peribahasa merupakan kalimat atau penggalan kalimat bersifat turun-temurun yang telah mendapatkan makna dan tempat khusus dalam pemakaian bahasa. Setiap daerah memiliki peribahasa masing-masing dan peribahasa hingga saat ini masih digunakan walaupun tidak seperti dulu, salah satunya di Desa Bancaran Bangkalan. Metode yang digunakan dalam penelitian ini menggunakan metode penelitian kualitatif deskriptif dengan kajian stilistika. Dari data yang di ambil di lapangan ditemukan sebanyak 36 data peribahasa Madura yang masih dipahami dan digunakan oleh masyarakat Desa Bancaran Bangkalan. Teori bentuk pemajasan yang digunakan yaitu teori pemajasan menurut Burhan Nurgiyantoro. Penelitian ini bertujuan untuk mendeskripsikan bentuk pemajasan dan fungsi peribahasa Madura di Desa Bancaran Bangkalan. Teknik pengumpulan data berupa teknik observasi langsung, wawancara, dan simak. Sedangkan untuk teknik analisis data (1) reduksi data, (2) penyajian data (3) penarikan serta pengujian simpulan. Uji keabsahan data diperoleh dari teknik triangulasi sumber dan triangulasi teori Hasil penelitian pertama, bentuk pemajasan peribahasa Madura di Desa Bancaran Bangkalan digunakan pemajasan yaitu simile, metafora, personifikasi, alegori, metonimi dan sinekdoki kategori pars pro tato. Kedua, fungsi peribahasa Madura di Desa Bancaran Bangkalan digunakan sebagai pengajaran atau pendidikan, kontrol sosial (nasehat), prinsip atau pedoman hidup, penguat maksud tuturan dan juga sebagai sindiran.
Kata kunci: Pemajasan, Fungsi, Stilistika.
"
111,Tinjauan fiqh muamalah terhadap pendayagunaan dana zakat produtif  (Studi Kasus BASNAZ Kabupaten Tuban) , Erina Affifah," Busroh karim, S.hum.,M.pd.I",,"Zakat adalah salah satu Hukum Islam yang mengalami perkembangan sesuai 
dengan zamannya karena zakat juga merupakan suatu bentuk ibadah yang dilakukan 
bukan hanya bertujuan untuk hubungan dengan Allah tapi juga merupakan bentuk 
hubungan sosial, yang dimana zakat dilakukan untuk mensucikan harta yang telah 
diterima oleh Allah. Mengenai hal ini pengkontribusian zakat agar dapat terjadi 
pemeraataan dalam penyaluran dana zakat yang sudah terhimpun oleh lembaga 
pengelolaan zakat yang sejauh ini mempunyai peran aktif baik oleh BAZNAS  
maupun LAZNAS. Hal ini yang mebuat penulis berinisiatif untuk menganalisis 
dalam hal pendayagunaan dana zakat yang terhimpun terutama pada pemanfaat dana 
zakat produktif pada lembaga Zakat BAZNAS kota Tuban apakah pemanfaatan 
dananya tersebut sudah sesuai dengan aturan yang ada pada fiqh muamalah.  
Jenis Penelitian ini menggunakan jenis penelitian kualitatif dengan 
menggunakan data primer yang berangkat dari penelitian langsung kepada lembaga 
BAZNAS dan waancara yang dilakukan dengan para mustahiq yang menerima. Serta 
data sekunder yang diperoleh peneliti melalui dokumentasi resmi, buku-buku, dan hal 
lain untuk menunjang dan melengkapi data.  
Hasil dari penelitian ini menunjukan kesesuaian diliat dari pendayaan dana 
zakat produktif yang dilakukan oleh BAZNAS Kabupaten Tuban berdasarkan 
viii 
 
misinya yaitu memberdayakan masyarakat miskin di kabupaten tuban yang masih 
produktif telah sesuai dengan teori teori akad yang ada difiqh muamalah.  
Kunci : Zakat, Dana Zakat, Fiqh Muamalah"
112,Studi Tingkat Kerentanan Wilayah dan Ketahanan Masyarakat Pesisir Terhadap Bencana Tsunami Di Kabupaten Banyuwangi, Euis Asterina Al Gadri," Dr. Zainul Hidayah, S.pi., M.App.Sc",,"Tsunami merupakan gelombang pasang yang dibangkitkan oleh terjadinya gempa tektonik, letusan gunung api di lautan, ataupun tanah longsor. Bencana yang ada di kabupaten Banyuwangi beragam, seperti tsunami, banjir bandang, gempa bumi maupun tanah longsor. Kabupaten Banyuwangi merupakan daerah yang memiliki potensi tinggi untuk terkena bencana tsunami. Skripsi ini bertujuan untuk menganalisis faktor-faktor yang mempengaruhi tingkat kerentanan wilayah bencana tsunami dan tingkat ketahanan masyarakat pesisir dalam menghadapi bencana tsunami di Kabupaten Banyuwangi. Penelitian ini menggunakan metode pemetaan dengan menggunakan Sistem Informasi Geofrafis (SIG) untuk mengetahui tingkat kerentanan wilayah bencana tsunami di Kabupaten Banyuwangi dan kuesioner menggunakan metode CCR (Coastal Community Resilience) untuk mengetahui ketahanan masyarakat pesisir Kabupaten Banyuwangi dalam menghadapi bencana tsunami. Hasil penelitian pada kerentanan wilayah bencana tsunami terdapat tiga paramereter yang berpengaruh, yaitu ketinggian daratan, kelerengan daratan, dan jarak dari sungai. Tingkat kerentanan sangat rendah seluas 14.140,09 Ha, kerentanan rendah seluas 30.083,17 Ha, kerentanan sedang seluas 38.127,73 Ha, kerentanan tinggi seluas 4.211,29 Ha, dan kerentanan sangat tinggi seluas 306,19 Ha. Pada ketahanan masyarakat menunjukkan terdapat satu elemen yang memiliki nilai masih di bawah standar, yaitu elemen desain struktur dan penggunaan lahan."
113,PENGARUH ADVERSITY QUOTIENT TERHADAP INTENSI BERWIRAUSAHA PADA MASYARAKAT PESISIR DI DESA AMBUNTEN TIMUR KECAMATAN AMBUNTEN KABUPATEN SUMENEP, Amalia Fitria , Hj. Lailatul Muarofah Hanim ,,"Abstrak. Penelitian ini bertujuan untuk mengetahui pengaruh adversity quotient terhadap intensi berwirausaha pada masyarakat pesisir di Desa Ambunten Timur Kecamatan Ambunten Kabupaten Sumenep. Penelitian ini menggunakan metode pendekatan kuantitatif. Responden dalam penelitian ini adalah masyarakat pesisir yang menjadi seorang wirausaha dengan jumlah 30 responden. Pengambilan sampel dalam penelitian ini menggunakan teknik Simple random sampling. Instrumen dalam penelitian ini adalah skala adversity quotient dan skala intensi berwirausaha. Analisis yang digunakan dalam penelitian ini adalah analisis regresi linier sederhana. Hasil dari penelitian ini menunjukkan nilai F 9,024 dengan signifikansi sebesar 0,006. Jika signifikansi < 0,05 maka hipotesis diterima, karena 0,006 lebih kecil dari 0,05 (0,006 < 0,05). Artinya terdapat pengaruh adversity quotient terhadap intensi berwirausaha pada masyarakat pesisir di Desa Ambunten Timur Kecamatan Ambunten Kabupaten Sumenep.

Kata Kunci: Adversity Quotient, Intensi Berwirausaha, Masyarakat Pesisir
"
114,Pengaruh Pengemasan Garam  Fortifikasi  Kunyit (Curcuma Domestica Val.) Terhadap Kandungan Vitamin C   , Viky Mei Wijayanti," Dr. H.Agus Romadhon,SP.,M.Si",,"Fortifikasi adalah metode penambahan mikronutrien yang umumnya digunakan pada bahan makanan dengan tujuan utama yaitu  meningkatkan zat gizi pada suatu produk pangan dengan menambahakan bahan-bahan alami atau kimia untuk menghindari terjadinya gangguan yang diakibatkan kurangnya zat gizi. Garam salah satu kebutuhan pokok masyarakat sebagai konsumsi maupun kegiatan industri. Kebutuhan garam konsumsi pada tubuh manusia perhari yaitu 5 gram mengikuti aturan WHO(Word Health Organization). Vitamin C dalam tubuh manusia sebagai antioksidan alami penangkal radikal bebas, inovasi garam fortifikasi kunyit yang tinggi akan kandungan vitamin C dapat memenuhi kebutuhan dalam tubuh manusia. Penjagaan mutu hasil fortifikasi merupakan salah satu cara untuk meminimalisir kandungan fortifikasi yang hilang saat proses penyimpanan. kemasan merupakan wadah atau pembungkus yang digunakan dalam produk secara umum dengan fungsi memperpanjang umur simpan produk sebelum di pasarkan ke produsen. Perlakuan yang diberikan pada penelitian ini yaitu jenis kemasan Alumunium Foil(AF),Polypropylen (ketebalan 0,45-0,6 mm) dan botol kaca dengan suhu 300C, 450C dan 600C dengan massa simpan 30 hari. Kandungan garam fortifikasi kadar air 0,22908%, kadar NaCl 80,396% dan kadar vitamin C 2,86%. Hasil uji ANOVA kadar NaCl yang berpengaruh nyata terhadap jenis kemasan dan waktu penyimpanan.  Bahan pengemasan terbaik untuk fortifikasi garam dengan kunyit (Curcuma Domestica Val.) terhadap kandungan vitamin C untuk menjaga produk fortifikasi agar kandungan vitamin C produk tetap terjaga dengan baik adalah kemasan plastik polypropylene (PP) dan kemasan botol kaca. 

Kata Kunci: Garam,fortifikasi,kemasan,vitamin C,kadar air dan kadar NaCl.
"
115,PENGEMBANGAN PRODUK KERUPUK AMPLANG DENGAN PENDEKATAN GREEN QUALITY FUNCTION DEPLOYMENT PADA INDUSTRI KECIL MENENGAH UD BINTANG SUMENEP, ACHMAD ARDI WIJAYA," Dr. Moh. Fuad Fauzul M, S.TP., M.Si","Khoirul Hidayat, ST., MT","Produk ramah lingkungan dapat mengurangi terjadinya pencemaran lingkungan dan konsumsi yang baik dalam jangka panjang. Tujuan dari penelitian ini adalah untuk mengidentifikasi kebutuhan dan keinginan konsumen yang mengarah pada produk ramah lingkungan yang dapat dipenuhi dari suatu produk sehingga dapat memberikan kepuasan kepada konsumen. Dengan menganalisis masalah menggunakan pendekatan Green Quality Function Deployment (Green QFD), ditemukan bahwa kebutuhan konsumen akan produk kerupuk ampang ramah lingkungan adalah proses produksi ramah lingkungan, kerupuk yang memiliki rasa alami, aroma dan warna-warna cerah, produk aman dari benda asing, kesesuaian dengan tanggal kedaluwarsa, dan informasi tentang ramah lingkungan. Nilai tingkat kepentingan relatif tinggi terdapat pada atribut kesesuaian tanggal kedaluwarsa dengan nilai tingkat kepentingan 6,3 dan atribut proses produksi ramah lingkungan dengan nilai tingkat kepentingan 6,05. Disimpulkan bahwa karakteristik kebutuhan konsumen yang terkait dengan produk ramah lingkungan adalah proses produksi ramah lingkungan, informasi tanggal kadaluwarsa pada kemasan, kesesuaian harga kemasan, ketahanan daya tahan kerupuk ampang dan warna kerupuk ampang."
116,Analisis Kemampuan Berpikir Kritis dan Metakognisi Siswa SMP pada Materi Pemanasan Global, Alfina Kamaliyah," Laila Khamsatul Muharrami, S.Si., M.Si.","Mocammad Yasir, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mendeskripsikan faktor yang mempengaruhi kemampuan berpikir kritis dan metakognisi siswa pada materi pemanasan global. Penelitian ini merupakan penelitian kualitatif deskriptif. Subyek yang digunakan sebanyak 7 siswa kelas VII di Parengan Maduran Lamongan. Instrumen yang digunakan adalah soal tes essay tentang materi pemanasan global dan lembar wawancara. Berdasarkan hasil penelitian dapat diketahui bahwa faktor yang mempengaruhi kemampuan berpikir kritis adalah kemampuan menganalisis soal, tidak menguasai konsep, dan sumber belajar yang sedikit. Sedangkan faktor yang mempengaruhi kemampuan metakognisi adalah kesiapan belajar, motivasi belajar, tidak merencanakan strategi yang baik untuk digunakan dalam menyelesaikan soal, tidak menyadari kesalahan dalam memahami konsep, tidak melakukan evaluasi dengan baik.

Kata Kunci: Kemampuan berpikir kritis, kemampuan metakognisi, pemanasan global
"
117,PERLINDUNGAN KONSUMEN TERHADAP PENCANTUMAN LABEL HALAL TANPA SERTIFIKASI LPPOM MUI PERSPEKTIF HUKUM POSITIF (Studi Kasus Produk Kripik Biji Durian KKN 55 UTM di Desa Togubang Kecamatan Geger Kabupaten Bangkalan), Rosiana Dewi," Galuh Widitya Qomaro, S.H.I.,M.H.I",,"Penelitian lapangan yang bertujuan untuk mengetahui bentuk pelindungan konsumen terhadap pencantuman label halal tanpa sertifikasi LPPOM MUI dan juga di tujukan untuk mengetahui sanksi hukum apa yang diberikan kepada pelaku usaha yang melakukan pencantuman label halal tanpa sertifikasi LPPOM MUI perspektif hukum positif.   Penelitian ini merupakan penelitian kualitatif dengan jenis penelitian lapangan (field research). Sifat penelitian ini adalah penelitian deskriptif analisis yang menjelaskan sebagai prosedur pemecahan masalah yang sedang berlangsung berdasarkan fakta-fakta yang ada dengan cara menyajikan, menganalisisis, dan menginterpretasikan data yang ditemukan di lapangan melalui observasi, wawancara, dan dokumentasi khususnya yang berkaitan dengan perlindungan konsumen terhadap pencantuman label halal tanpa sertifikasi LPPOM MUI perspektif hukum positif. Pendekatan penelitian ini menggunakan pendekatan yuridis normatif yang diartikan untuk membahas doktrin-doktrin atau asas-asas dalam ilmu hukum.  Hasil penelitian menyimpulkan bahwa 1) Proses produksi, labelisasi, dan peredaran produk makanan kripik biji durian ini dilakukan secara mandiri dengan membuat produknya dengan bahan dan alat seadanya. 2) Bentuk perlindungan hukum yang diberikan kepada konsumen tentang pencantuman label halal tanpa sertifikasi LPPOM MUI adalah berupa pemberian sanksi administratif, dan sanksi pidana.  
 
Kata Kunci: Perlindungan Hukum, Konsumen, Label halal dan Sertifikasi Halal "
118,Analisis Kesalahan Siswa dalam Menyelesaikan Soal HOTS pada Materi Tekanan pada Zat Berdasarkan Prosedur Newman, LAILATUN NAJAHAH," MOCHAMMAD AHIED,S.Si.,M.Si.","IRSAD ROSIDI, S.Pd., M.Pd.","Tujuan penelitian ini adalah mengetahui kemampuan, dan jenis kesalahan yang dilakukan siswa dalam menyelesaikan soal HOTS. Penelitian ini merupakan penilitian kualitatif deskriptif. Subjek penelitian diambil 3 dari 15 siswa yang mengikuti tes soal HOTS yang terdiri dari siswa berkemampuan tinggi, siswa berkemampuan sedang, dan siswa berkemampuan rendah. Teknik analisis data menggunakan model Miles dan Huberman. Berdasarkan hasil penelitian dapat disimpulkan bahwa kemampuan siswa dalam menyelesaikan soal HOTS diperoleh 3 siswa berkemampuan penyelesaian soal tinggi, 4 siswa berkemampuan penyelesaian soal sedang dan 8 siswa berkemampuan penyelesaian soal rendah. Jenis kesalahan yang dilakukan siswa berupa kesalahan membaca (reading errors), kesalahan memahami (comprehension errors), kesalahan penulisan rumus (transformation errors), kesalahan keterampilan proses (process skill errors), dan kesalahan penentuan jawaban akhir (encoding error). Penelitian ini diharapkan dapat menjadi acuan bagi penelitian selanjutnya dengan menyertakan cara yang tepat untuk mengatasi kesalahan siswa dengan memperdalam literasi yang digunakan sebagai penguat teori."
119,"Beban Pencemar Limbah Terhadap Keberlanjutan Ekowisata Pantai di Pantai Camplong, Kabupaten Sampang", Mohammad Syahrul," Dr. Agus Romadhon SP., M.Si","Dr. Agus Romadhon SP., M.Si","ABSTRAK



Kabupaten Sampang merupakan salah satu kabupaten yang terletak di Pulau Madura.Kabupaten Sampang memiliki potensi sumberdaya alam yang sangat menunjang kelangsungan hidup dan pertumbuhan kepariwisataan, salah satunya obyek wisata Pantai Camplong. Kondisi di Pantai Camplong saat ini dalam keadaan kurang baikkarenabanyaknya sampah atau limbah disekitar perairan.Penelitian tentang kualitas perairan dan beban  pencemar  ini sangat penting dilakukan untuk mengetahui kondisi perairan di Pantai Camplong bagi keberlanjutan ekowisata. Metode yang digunakan untuk mengetahui kondisi perairan yaitu menggunakan metode Storet dan analisa beban pencemar untuk mengetahui  jumlah  beban  pencemar  yang  ada  di  pantai  camplong.  Hasil penelitian menunjukkan bahwa pantai camplong dikategorikan tercemar sedang dengan skor sebesar -25 dan beban pencemar yang tertinggi adalah parameter COD sebesar 2.143,87 Kg/hari dan BOD sebesar 607,7 Kg/hari. Tingginya nilai COD dan BOD terdapat pada stasiun 1 tepatnya di wisata pantai camplong, hal itu dikarenakan adanya bahan organik dan anorganik disekitar pantai. Upaya dalam mengatasi kondisi tersebut dengan cara mengurangi pemasukan bahan organik dan anorganik dengan membuat suatu tempat untuk pembuangan akhir (TPA), sehingga masyarakat atau pengunjung tidak membuang sampah ke perairan.

Kata Kunci : Beban Pencemar, Ekowisata, dan Pantai Camplong. 
"
120,Laju Penguapan Serta Kualitas Garam Pada Produksi Garam Dengan Penambahan Bakteri Halofilik, Zulia Susanti," Insafitri, ST., M.Sc., Ph.D","Insafitri, ST., M.Sc., Ph.D","Garam merupakan salah satu komoditas penting dalam perekonomian kawasan pesisir. Proses produksi garam yang masih menggunakan metode tradisional membuat faktor laju penguapan sangat penting untuk di perhatikan. Selain itu, kualitas garam juga memegang peranan penting dalam industri garam. Penggunaan komponen biologi bakteri Halofilik menjadi salah satu upaya dalam meningkatkan laju penguapan air dan kualitas garam, Tujuan dari penelitian ini adalah mengetahui laju penguapan serta kualitas garam dengan pemanfaatan bakteri halofilik. Tahapan penelitian meliputi : isolasi bakteri dari kolam peminihan dengan dua media yaitu Zobell dan TSA, percobaan proses produksi garam di rumah garam, pengukuran parameter (suhu air, suhu ruang, inensitas cahaya, kelembaban) dan laju penguapan, uji kualitas garam, serta analisa pengaruh parameter pada laju penguapan. Isolasi bakteri halofilik mendapatkan kepadatan bakteri sebesar 875.8x10? pada media Zobell dan 894,1x10? pada media TSA. Hasil penelitian menunjukkan bahwa tidak ada perbedaan secara signifikan pada laju penguapan antara kontrol dengan penambahan bakteri halofilik dengan nilai laju penguapan control sebesar 16,54 Liter, Zobell 18,96 Liter, serta TSA 1,36 Liter. Penambahan bakteri halofilik mampu meningkatkan kualitas garam secara signifikan signifikan, dimana garam pada Zobell mempunyai kadar NaCl 87,97%, pada TSA 87,41% sedangkan pada kontrol hanya 84,43%. Parameter fisika suhu air berpengaruh secara signifikan terhadap laju penguapan kontrol maupun dengan penambahan bakteri halofilik. ."
121,"Farida
18 juni 2020
160321100052
Agribisnis", farida," Dr. Elys Fauziyah, SP,. MP","Amanatuz Zuhriyah, SP,. MMA",
122,Pemanfaatan Bakteri Halofilik Untuk Meningkatkan Laju Penguapan Dan Kualitas Garam, Ghetra Sanda Savheca," Insafitri, ST., M.Sc., Ph.D",,"Kebutuhan garam di Indonesia seiring dengan bertambahnya penduduk  dimanfaatkan untuk garam konsumsi maupun industri terus meningkat. Produksi garam di indonesia hanya mampu memenuhi garam konsumsi saja, untuk garam industri masih mengandalkan garam impor. Rendahnya produksi garam rakyat selain karena masih diproduksi secara tradisional oleh petani garam, faktor cuaca dan iklim juga sangat mempengaruhi proses produksi garam, hal ini karena faktor cuaca dan iklim berkaitan erat dengan laju penguapan pada proses produksi garam. Bakteri halofilik ekstrim berpigmen merah memiliki peranan penting untuk menyerap sinar matahari sehingga suhu air akan meningkat dan laju penguapan juga akan meningkat, tingginya laju penguapan dapat meningkatkan konsentrasi ion-ion penyusun garam sehingga pembentukan kristal garam menjadi lebih cepat. Pada penelitian ini menggunakan hasil isolasi bakteri halofilik yang hidup pada kadar garam 20-30% diambil pada tambak garam rakyat yang berada di Ds.Lembung Kec.Galis Kab.Pamekasan. Penelitian laju penguapan air dengan penambahan bakteri halofilik dilakukan pada kolam prototype yang dilakukan pada rumah garam Universitas Trunojoyo Madura. Bakteri halofilik mampu menguapkan air sebanyak 0,48 liter/hari, sedangkan kolam prototype tanpa penambahan bakteri halofilik hanya mampu menguapakan air sebanyak 0,24 liter/hari. Kadar Natrium Chlorida pada garam yang dihasilkan pada kolam dengan penambahan bakteri halofilik sebesar 98,16 % sedangkan pada garam tanpa penambahan bakteri halofilik menghasilkan kadar Natrium Chlorida sebesar 94,09%."
123,Kajian Tingkat Pendapatan Petani Sawah Irigasi Dengan Diversifikasi Pola Tanam di Pamekasan (Studi Kasus di Desa Gugul dan Larangan Slampar), Mustaji," Dr. Achmad Amzeri, S.P., M.P","Dr. Ir. Gita Pawana, M.Si.","Pola tanam merupakan teknik yang digunakan petani untuk menentukan jenis dan waktu tanam dalam usaha taninya. Di Pamekasan, pada umumnya petani menggunakan pola tanam yang sudah ada sejak turun-temurun. Penelitian ini dilakukandi Desa Gugul dan Larangan Slampar, Kecamatan Tlanakan, Pamekasan dengan metode purposive sampling. Penentuan lokasi dilakukan berdasarkan informasi dari stakeholder di Kabupaten Pamekasan. Penentuan responden dilakukan dengan metode snowball sampling. Hasil survey menunjukkan bahwa keanekaragaman pola tanam terdiri dari pola tanam padi-padi-tembakau, padi-tembakau, padi-jagung-tembakau dan padi-padi-jagung. Dari keempat pola tanam tersebut, pola tanam padi-padi-tembakau di Desa Larangan Slampar memiliki nilai B/C Ratio tertinggi, yaitu 3,64. Keempat pola tanam diatas juga memiliki indeks diversitas berbeda di masing-masing desa. "
124,Konsep Kewirausahaan Dalam Prestektif Manajemen Islami Di Distro Assfak Assyuhadak (Studi Kasus Distro Assfak Assyuhadak Store di Jombang)  , Hasanah," Dzikrulloh, S.E.I., M.S.E.I.",-,"ABSTRAK
 Kewirausahaan adalah kemampuan untuk menciptakan sesuatu yang baru melalui berpikir kreatif dan bertindak inovatif untuk menciptakan peluang. Konsep dan nilai berwirausaha secara Islami harus tetap berlandaskan pada ajaran al-Quran dan al-Hadits sebagai wujud ketaatan dan rasa tanggung jawab kepada Allah SWT, penting untuk mengetahui konsep managemen kewirausahaan secara islami yang sesuai dengan syariat islam karena dalam menjalankan wirausaha sejatinya tidak lepas dari pertolongan dan petunjuk Allah SWT.
 Penelitian ini menggunakan metode deskriptif kualitatif. Penelitian deskriptif kualitatif adalah penelitian yang memaparkan gambaran secara sistematis tentang informasi ilmiah yang berasal dari subjek atau objek penelitian. Dan penelitian ini dilakukan pada Distro Assfak Assyuhadak store Jalan Raya Jati Rejo No.2, Diwek Jombang. 
 Dari hasil penelitian yang dilakukan oleh penulis dapat diambil kesimpulan bahwa di Distro Assfak Assyuhadak telah menggunakan konsep kewirausahaan secara Islami mulai dari sistem management dan semua konsep yang diterapkan dalam usaha serta nilai dalam berwirausaha tidak melanggar syariat islam.
Kata kunci : Kewirausahaan, management, Konsep Islami."
125,Analisis Implementasi Akad Wakalah Bil Ujrah Pada Investasi Berbasis Tekhnologi Di Fintech Syariah Kandang.In, Ach. Faruk Sayyan," Lailatul Qadariyah, S.H.I., M.E.I.",,"Penelitian ini dilatar belakangi adanya hal baru dalam dunia keuangan islam yaitu penerapan akad syariah pada dunia technologi finansial. Kandang.in adalah platform investasi dalam bentuk finansial technologi yang bergerak di bidang investasi dengan akad wakalah bil ujroh.Wakalah bil ujrah adalah pemberian kuasa atau pelimpahan kuasa dari pihak yang mempunyai dana kepada pihak lain sebagai pengelolah dana dengan imbalan pemberian. Dari adanya produk investasi syariah berbasis technologi penelitian ini menganalisis bagaimana penerapan akad wakalaah bil ujroh pada fintech. 
Penelitian ini termasuk penelitian yang menggunakan metode penelitian kualitatif obejek penelitian adalah pihak fintech kandang.in dengan wawancara kepada direktur dan staf pada perusahaan kandang.in tentang bagaimana pepnerapan akad wakalah bil ujroh pada pada fintech ini. 
 Hasil menunjukkan bahwa penerapan akad Wakalah bil Ujrah di Kandang.in sudah sesuai dengan teori yang ada. Penentuan ujroh pada kandang.in tidak memberatkan pihak lain dan Tidak ada yang terdzolimi diantara semua pihak karena investasi pada kandang.in menerapkan sistem bagi hasil dan bagi rugi.Keuntungan investasi di kandang.in juga diperoleh dari bagi hasil panen mitra bukan dari besar atau kecilnya bunga.

Kata Kunci:Fintech, Wakalah bil Ujroh, Kandang.in"
126,Pengaruh Motivasi Belanja Hedonis dan Emosi Positif terhadap Impulsive Buying pada Remaja Akhir, Ita Tri Handayanie," Mery Atika, S.Psi., M.Si",-,"Ita Tri Handayanie. 160541100045. Pengaruh Motivasi Belanja Hedonis dan Emosi Positif Terhadap Impulsive Buying pada Remaja Akhir. Skripsi. Program Studi Psikologi, Fakultas Ilmu Sosial dan Ilmu Budaya. Universitas Trunojoyo Madura. 2020. xix + 100 halaman, 19 lampira

Seorang berbelanja merupakan hal yang biasa, namun selama membeli itu untuk memenuhi kebutuhan pokok tetapi yang akan menjadi permasalahan ketika dalam usaha memenuhi kebutuhan tersebut seseorang mengembangkan pembelian yang mengarah ke impulsive buying. Impulsive buying bisa terjadi bagi siapa saja tidak terkecuali pada kalangan remaja. Terdapat beberapa faktor yang mempengaruhi impulsive buying yaitu motivasi belanja hedonis dan emosi positif. Penelitian ini bertujuan untuk mengetahui pengaruh motivasi belanja hedonis dan emosi positif terhadap impulsive buying. Penelitian ini menggunakan pendekatan kuantitatif dengan teknik purposive sampling. Responden dalam penelitian ini adalah remaja akhir dengan jumlah 268 responden. Instrumen dalam penelitian ini adalah skala motivasi belanja hedonis, skala emosi positif dan skala impulsive buying. Analisis yang digunakan dalam penelitian ini adalah uji regresi linier berganda dengan bantuan program SPSS 23 for windows. Hasil penelitian ini menunjukkan nilai F=113,921 dengan signifikansi 0,000. Nilai tersebut kurang dari 0,05 (0,000 < 0,05). Artinya hipotesis yang diajukan pada penelitian ini dapat diterima. Hipotesis pada penelitian ini adalah terdapat pengaruh yang signifikan motivasi belanja hedonis dan emosi positif terhadap impulsive buying. Hasil penelitian ini juga menunjukan bahwa motivasi belanja hedonis dan emosi positif secara parcial dan simultan berpengaruh positif juga signifikan terhadap impulsive buying. Kedua variabel berkontribusi terhadap pengaruh impulsive buying sebesar 45,8%."
127,Pengaruh Motivasi Belanja Hedonis dan Emosi Positif terhadap Impulsive Buying pada Remaja Akhir, Ita Tri Handayani," Mery Atika, S.Psi., M.Si",-,"
ABSTRAK

 

Ita Tri Handayanie. 160541100045. Pengaruh Motivasi Belanja Hedonis dan Emosi Positif Terhadap Impulsive Buying. Skripsi. Program Studi Psikologi, Fakultas Ilmu Sosial dan Ilmu Budaya. Universitas Trunojoyo Madura. 2020. xix + 100 halaman, 19 lampira

Seorang berbelanja merupakan hal yang biasa, namun selama membeli itu untuk memenuhi kebutuhan pokok tetapi yang akan menjadi permasalahan ketika dalam usaha memenuhi kebutuhan tersebut seseorang mengembangkan pembelian yang mengarah ke impulsive buying. Impulsive buying bisa terjadi bagi siapa saja tidak terkecuali pada kalangan remaja. Terdapat beberapa faktor yang mempengaruhi impulsive buying yaitu motivasi belanja hedonis dan emosi positif. Penelitian ini bertujuan untuk mengetahui pengaruh motivasi belanja hedonis dan emosi positif terhadap impulsive buying. Penelitian ini menggunakan pendekatan kuantitatif dengan teknik purposive sampling. Responden dalam penelitian ini adalah remaja akhir dengan jumlah 268 responden. Instrumen dalam penelitian ini adalah skala motivasi belanja hedonis, skala emosi positif dan skala impulsive buying. Analisis yang digunakan dalam penelitian ini adalah uji regresi linier berganda dengan bantuan program SPSS 23 for windows. Hasil penelitian ini menunjukkan nilai F=113,921 dengan signifikansi 0,000. Nilai tersebut kurang dari 0,05 (0,000 < 0,05). Artinya hipotesis yang diajukan pada penelitian ini dapat diterima. Hipotesis pada penelitian ini adalah terdapat pengaruh yang signifikan motivasi belanja hedonis dan emosi positif terhadap impulsive buying. Hasil penelitian ini juga menunjukan bahwa motivasi belanja hedonis dan emosi positif secara parcial dan simultan berpengaruh positif juga signifikan terhadap impulsive buying. Kedua variabel berkontribusi terhadap pengaruh impulsive buying sebesar 45,8%.
 
Kata Kunci?: Motivasi Belanja Hedonis, Emosi Positif, Impulsive Buying, Remaja Akhir"
